assignment_id,employee_id,ward_id,shift,shift_start_time,shift_end_time,shift_hours
1,105,3,Night,23:00,07:00,8
2,106,1,Night,23:00,07:00,8
3,107,1,Night,23:00,07:00,8
4,108,3,Night,23:00,07:00,8
5,109,3,Day,07:00,15:00,8
6,110,2,Evening,15:00,23:00,8
7,111,1,Night,23:00,07:00,8
8,112,1,Evening,15:00,23:00,8
9,113,1,Evening,15:00,23:00,8
10,114,2,Night,23:00,07:00,8
11,115,5,Day,07:00,15:00,8
12,116,6,Day,07:00,15:00,8
13,117,4,Day,07:00,15:00,8
14,118,6,Night,23:00,07:00,8
15,119,4,Night,23:00,07:00,8
16,120,5,Evening,15:00,23:00,8
17,121,4,Evening,15:00,23:00,8
18,122,5,Evening,15:00,23:00,8
19,123,4,Night,23:00,07:00,8
20,124,6,Day,07:00,15:00,8
21,125,5,Night,23:00,07:00,8
22,126,7,Night,23:00,07:00,8
23,127,8,Day,07:00,15:00,8
24,128,9,Day,07:00,15:00,8
25,129,9,Day,07:00,15:00,8
26,130,8,Day,07:00,15:00,8
27,131,8,Night,23:00,07:00,8
28,132,8,Night,23:00,07:00,8
29,133,7,Evening,15:00,23:00,8
30,134,9,Evening,15:00,23:00,8
31,135,7,Night,23:00,07:00,8
32,136,9,Night,23:00,07:00,8
33,137,8,Night,23:00,07:00,8
34,138,8,Day,07:00,15:00,8
35,139,7,Day,07:00,15:00,8
36,140,12,Evening,15:00,23:00,8
37,141,12,Night,23:00,07:00,8
38,142,10,Evening,15:00,23:00,8
39,143,12,Day,07:00,15:00,8
40,144,11,Night,23:00,07:00,8
41,145,10,Evening,15:00,23:00,8
42,146,10,Evening,15:00,23:00,8
43,147,10,Day,07:00,15:00,8
44,148,11,Evening,15:00,23:00,8
45,149,11,Night,23:00,07:00,8
46,150,12,Night,23:00,07:00,8
47,151,10,Evening,15:00,23:00,8
48,152,14,Day,07:00,15:00,8
49,153,14,Night,23:00,07:00,8
50,154,15,Night,23:00,07:00,8
51,155,13,Night,23:00,07:00,8
52,156,15,Evening,15:00,23:00,8
53,157,15,Night,23:00,07:00,8
54,158,14,Night,23:00,07:00,8
55,159,15,Day,07:00,15:00,8
56,160,13,Day,07:00,15:00,8
57,161,15,Evening,15:00,23:00,8
58,162,15,Day,07:00,15:00,8
59,163,13,Night,23:00,07:00,8
60,164,17,Day,07:00,15:00,8
61,165,17,Night,23:00,07:00,8
62,166,17,Day,07:00,15:00,8
63,167,17,Day,07:00,15:00,8
64,168,16,Evening,15:00,23:00,8
65,169,16,Night,23:00,07:00,8
66,170,17,Evening,15:00,23:00,8
67,171,16,Evening,15:00,23:00,8
68,172,17,Day,07:00,15:00,8
69,173,17,Night,23:00,07:00,8
70,174,16,Day,07:00,15:00,8
71,175,17,Evening,15:00,23:00,8
72,176,17,Evening,15:00,23:00,8
73,177,16,Night,23:00,07:00,8
74,178,19,Day,07:00,15:00,8
75,179,19,Evening,15:00,23:00,8
76,180,19,Day,07:00,15:00,8
77,181,19,Day,07:00,15:00,8
78,182,18,Evening,15:00,23:00,8
79,183,18,Day,07:00,15:00,8
80,184,19,Evening,15:00,23:00,8
81,185,18,Night,23:00,07:00,8
82,186,19,Day,07:00,15:00,8
83,187,19,Evening,15:00,23:00,8
84,188,18,Night,23:00,07:00,8
85,189,18,Evening,15:00,23:00,8
86,190,18,Day,07:00,15:00,8
87,191,20,Night,23:00,07:00,8
88,192,21,Evening,15:00,23:00,8
89,193,22,Night,23:00,07:00,8
90,194,22,Night,23:00,07:00,8
91,195,21,Day,07:00,15:00,8
92,196,20,Day,07:00,15:00,8
93,197,20,Night,23:00,07:00,8
94,198,22,Night,23:00,07:00,8
95,199,23,Evening,15:00,23:00,8
96,200,25,Night,23:00,07:00,8
97,201,25,Day,07:00,15:00,8
98,202,24,Night,23:00,07:00,8
99,203,24,Evening,15:00,23:00,8
100,204,23,Day,07:00,15:00,8
101,205,24,Evening,15:00,23:00,8
